,有價證券代號及名稱 ,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
0,ETN,,,,,,
1,020000　富邦特選蘋果N,TW0000200005,2019/04/30,上市,,CMXXXU,
2,020002　元富新中國N,TW0000200021,2019/04/30,上市,,CMXXXU,
3,020004　兆豐電菁英30N,TW0000200047,2019/04/30,上市,,CMXXXU,
4,020006　永昌中小300N,TW0000200062,2019/04/30,上市,,CMXXXU,
5,020007　凱基臺灣500N,TW0000200070,2019/04/30,上市,,CMXXXU,
6,020008　元大特股高息N,TW0000200088,2019/04/30,上市,,CMXXXU,
7,020011　統一微波高息20N,TW0000200112,2019/12/03,上市,,CMXXXU,
8,020012　富邦行動通訊N,TW0000200120,2019/12/20,上市,,CMXXXU,
9,020015　統一MSCI美低波N,TW0000200153,2020/03/27,上市,,CMXXXU,
10,020016　統一MSCI美科技N,TW0000200161,2020/03/27,上市,,CMXXXU,
11,020018　統一價值成長30N,TW0000200187,2020/07/30,上市,,CMXXXU,
12,020019　統一特選台灣5GN,TW0000200195,2020/07/30,上市,,CMXXXU,
13,02001L　富邦蘋果正二N,TW00002001L4,2020/04/16,上市,,CMXXXU,
14,02001R　富邦蘋果反一N,TW00002001R1,2020/04/16,上市,,CMXXXU,
15,020020　元大台股領航N,TW0000200203,2020/11/02,上市,,CMXXXU,
16,020022　元大電動車N,TW0000200229,2020/12/08,上市,,CMXXXU,
